design,method,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,true_discoveries,false_discoveries,delay
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314214,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314214,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314215,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314215,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314216,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314216,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314217,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314217,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314218,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314218,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314219,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314219,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314220,0.0,0.0,0.0,0.625,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314220,0.0,0.0,0.0,0.625,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314221,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314221,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314222,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314222,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314223,0.0,0.0625,0.07142857142857142,0.875,1,1,0,1204.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314223,0.0,0.0625,0.07142857142857142,0.875,1,1,0,1204.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314224,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314224,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314225,0.0,0.125,0.15384615384615385,0.8125,2,2,0,1086.5
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314225,0.0,0.0625,0.07692307692307693,0.8125,1,1,0,1017.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314226,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314226,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314227,0.0,0.0625,0.07142857142857142,0.875,1,1,0,47.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314227,0.0,0.0625,0.07142857142857142,0.875,1,1,0,47.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314228,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314228,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314229,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314229,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314230,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314230,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314231,0.0,0.0,0.0,0.625,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314231,0.0,0.0,0.0,0.625,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314232,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314232,0.0,0.0,0.0,0.75,0,0,0,
