design,method,seed,false_discoveries,any_false,first_day
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271899,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271900,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271900,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271901,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271901,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271902,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271902,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271903,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271903,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271904,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271904,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271905,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271905,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271906,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271906,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271907,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271907,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271908,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271908,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271909,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271909,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271910,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271910,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271911,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271911,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271912,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271912,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271913,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271913,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271914,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271914,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271915,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271915,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271916,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271916,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271917,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271917,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271918,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271918,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271919,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271919,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271920,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271920,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271921,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271921,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271922,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271922,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271923,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271923,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271924,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271924,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271925,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271925,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271926,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271926,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271927,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271927,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271928,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271928,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271929,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271929,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271930,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271930,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271931,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271931,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271932,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271932,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271933,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271933,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271934,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271934,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271935,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271935,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271936,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271936,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271937,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271937,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271938,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271938,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271939,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271939,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271940,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271940,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271941,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271941,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271942,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271942,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271943,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271943,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271944,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271944,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271945,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271945,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271946,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271946,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271947,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271947,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271948,0,0,-1
