design,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,52001011,1-5,5,5
telescoping-fixed,52001011,6-10,5,3
telescoping-fixed,52001011,11-20,4,3
telescoping-fixed,52001011,21-35,2,0
telescoping-fixed,52001011,36-50,0,0
campaign75-fixed-daily,52001011,1-5,5,5
campaign75-fixed-daily,52001011,6-10,5,3
campaign75-fixed-daily,52001011,11-20,4,4
campaign75-fixed-daily,52001011,21-35,2,2
campaign75-fixed-daily,52001011,36-50,0,0
campaign75-geometric-daily,52001011,1-5,5,5
campaign75-geometric-daily,52001011,6-10,5,3
campaign75-geometric-daily,52001011,11-20,4,4
campaign75-geometric-daily,52001011,21-35,2,2
campaign75-geometric-daily,52001011,36-50,0,0
telescoping-fixed,52001012,1-5,5,4
telescoping-fixed,52001012,6-10,5,3
telescoping-fixed,52001012,11-20,6,3
telescoping-fixed,52001012,21-35,0,0
telescoping-fixed,52001012,36-50,0,0
campaign75-fixed-daily,52001012,1-5,5,3
campaign75-fixed-daily,52001012,6-10,5,3
campaign75-fixed-daily,52001012,11-20,6,5
campaign75-fixed-daily,52001012,21-35,0,0
campaign75-fixed-daily,52001012,36-50,0,0
campaign75-geometric-daily,52001012,1-5,5,3
campaign75-geometric-daily,52001012,6-10,5,3
campaign75-geometric-daily,52001012,11-20,6,5
campaign75-geometric-daily,52001012,21-35,0,0
campaign75-geometric-daily,52001012,36-50,0,0
telescoping-fixed,52001013,1-5,5,5
telescoping-fixed,52001013,6-10,4,4
telescoping-fixed,52001013,11-20,5,4
telescoping-fixed,52001013,21-35,2,0
telescoping-fixed,52001013,36-50,0,0
campaign75-fixed-daily,52001013,1-5,5,5
campaign75-fixed-daily,52001013,6-10,4,4
campaign75-fixed-daily,52001013,11-20,5,5
campaign75-fixed-daily,52001013,21-35,2,0
campaign75-fixed-daily,52001013,36-50,0,0
campaign75-geometric-daily,52001013,1-5,5,5
campaign75-geometric-daily,52001013,6-10,4,4
campaign75-geometric-daily,52001013,11-20,5,5
campaign75-geometric-daily,52001013,21-35,2,0
campaign75-geometric-daily,52001013,36-50,0,0
telescoping-fixed,52001014,1-5,5,4
telescoping-fixed,52001014,6-10,5,5
telescoping-fixed,52001014,11-20,6,2
telescoping-fixed,52001014,21-35,0,0
telescoping-fixed,52001014,36-50,0,0
campaign75-fixed-daily,52001014,1-5,5,4
campaign75-fixed-daily,52001014,6-10,5,5
campaign75-fixed-daily,52001014,11-20,6,4
campaign75-fixed-daily,52001014,21-35,0,0
campaign75-fixed-daily,52001014,36-50,0,0
campaign75-geometric-daily,52001014,1-5,5,4
campaign75-geometric-daily,52001014,6-10,5,5
campaign75-geometric-daily,52001014,11-20,6,4
campaign75-geometric-daily,52001014,21-35,0,0
campaign75-geometric-daily,52001014,36-50,0,0
telescoping-fixed,52001015,1-5,5,5
telescoping-fixed,52001015,6-10,5,5
telescoping-fixed,52001015,11-20,6,4
telescoping-fixed,52001015,21-35,0,0
telescoping-fixed,52001015,36-50,0,0
campaign75-fixed-daily,52001015,1-5,5,5
campaign75-fixed-daily,52001015,6-10,5,5
campaign75-fixed-daily,52001015,11-20,6,6
campaign75-fixed-daily,52001015,21-35,0,0
campaign75-fixed-daily,52001015,36-50,0,0
campaign75-geometric-daily,52001015,1-5,5,5
campaign75-geometric-daily,52001015,6-10,5,5
campaign75-geometric-daily,52001015,11-20,6,6
campaign75-geometric-daily,52001015,21-35,0,0
campaign75-geometric-daily,52001015,36-50,0,0
telescoping-fixed,52001016,1-5,5,4
telescoping-fixed,52001016,6-10,5,4
telescoping-fixed,52001016,11-20,5,2
telescoping-fixed,52001016,21-35,1,0
telescoping-fixed,52001016,36-50,0,0
campaign75-fixed-daily,52001016,1-5,5,4
campaign75-fixed-daily,52001016,6-10,5,5
campaign75-fixed-daily,52001016,11-20,5,3
campaign75-fixed-daily,52001016,21-35,1,0
campaign75-fixed-daily,52001016,36-50,0,0
campaign75-geometric-daily,52001016,1-5,5,4
campaign75-geometric-daily,52001016,6-10,5,5
campaign75-geometric-daily,52001016,11-20,5,4
campaign75-geometric-daily,52001016,21-35,1,0
campaign75-geometric-daily,52001016,36-50,0,0
telescoping-fixed,52001017,1-5,5,4
telescoping-fixed,52001017,6-10,5,4
telescoping-fixed,52001017,11-20,5,0
telescoping-fixed,52001017,21-35,1,0
telescoping-fixed,52001017,36-50,0,0
campaign75-fixed-daily,52001017,1-5,5,4
campaign75-fixed-daily,52001017,6-10,5,4
campaign75-fixed-daily,52001017,11-20,5,0
campaign75-fixed-daily,52001017,21-35,1,0
campaign75-fixed-daily,52001017,36-50,0,0
campaign75-geometric-daily,52001017,1-5,5,4
campaign75-geometric-daily,52001017,6-10,5,4
campaign75-geometric-daily,52001017,11-20,5,1
campaign75-geometric-daily,52001017,21-35,1,0
campaign75-geometric-daily,52001017,36-50,0,0
telescoping-fixed,52001018,1-5,5,5
telescoping-fixed,52001018,6-10,5,2
telescoping-fixed,52001018,11-20,5,3
telescoping-fixed,52001018,21-35,1,0
telescoping-fixed,52001018,36-50,0,0
campaign75-fixed-daily,52001018,1-5,5,5
