annual_sharpe,correlation,seed,seed_source,proposal_recall,method,fdp,conditional_power,end_to_end_power,discoveries,delay_days
0.5,0,314226,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314226,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314227,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,51
0.5,0,314227,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314228,archived_314159_anchor,1,SAFE-ALPHA,0,0.0625,0.0625,1,1071
0.5,0,314228,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314229,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314229,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314230,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314230,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314231,archived_314159_anchor,0.625,SAFE-ALPHA,0,0,0,0,
0.5,0,314231,archived_314159_anchor,0.625,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314232,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314232,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314233,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,646
0.5,0,314233,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314234,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314234,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314235,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314235,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314236,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314236,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314237,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314237,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314238,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314238,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314239,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314239,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314240,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,906
0.5,0,314240,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314241,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314241,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314242,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314242,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314243,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314243,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314244,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314244,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314245,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.142857142857,0.125,2,483.5
0.5,0,314245,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0.142857142857,0.125,2,1244
0.5,0,314246,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,66
0.5,0,314246,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314247,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314247,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314248,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314248,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314249,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314249,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314250,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314250,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314251,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
