q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.15,Matched terminal weighted e-BH,0,0.5625,9,1189,316043
0.175,SAFE-ALPHA,0,0.5625,9,581.555555556,316043
0.175,Matched terminal weighted e-BH,0,0.5625,9,1189,316043
0.2,SAFE-ALPHA,0,0.5625,9,572.666666667,316043
0.2,Matched terminal weighted e-BH,0,0.5625,9,1189,316043
0.01,SAFE-ALPHA,0,0.1875,3,814.333333333,316044
0.01,Matched terminal weighted e-BH,0,0.1875,3,1229,316044
0.025,SAFE-ALPHA,0,0.5625,9,812.111111111,316044
0.025,Matched terminal weighted e-BH,0,0.4375,7,1177.57142857,316044
0.05,SAFE-ALPHA,0,0.625,10,793,316044
0.05,Matched terminal weighted e-BH,0,0.5625,9,1180.66666667,316044
0.075,SAFE-ALPHA,0,0.75,12,807.25,316044
0.075,Matched terminal weighted e-BH,0,0.75,12,1166.5,316044
0.1,SAFE-ALPHA,0,0.9375,15,825,316044
0.1,Matched terminal weighted e-BH,0,0.9375,15,1151,316044
0.125,SAFE-ALPHA,0,0.9375,15,801.333333333,316044
0.125,Matched terminal weighted e-BH,0,0.9375,15,1151,316044
0.15,SAFE-ALPHA,0,0.9375,15,769,316044
0.15,Matched terminal weighted e-BH,0,0.9375,15,1151,316044
0.175,SAFE-ALPHA,0,0.9375,15,720.666666667,316044
0.175,Matched terminal weighted e-BH,0,0.9375,15,1151,316044
0.2,SAFE-ALPHA,0,0.9375,15,713,316044
0.2,Matched terminal weighted e-BH,0,0.9375,15,1151,316044
0.01,SAFE-ALPHA,0,0,0,,316045
0.01,Matched terminal weighted e-BH,0,0,0,,316045
0.025,SAFE-ALPHA,0,0.1875,3,1041,316045
0.025,Matched terminal weighted e-BH,0,0.125,2,1236.5,316045
0.05,SAFE-ALPHA,0,0.3125,5,925,316045
0.05,Matched terminal weighted e-BH,0,0.25,4,1221.5,316045
0.075,SAFE-ALPHA,0,0.375,6,856.833333333,316045
0.075,Matched terminal weighted e-BH,0,0.25,4,1221.5,316045
0.1,SAFE-ALPHA,0,0.5625,9,818.222222222,316045
0.1,Matched terminal weighted e-BH,0,0.25,4,1221.5,316045
0.125,SAFE-ALPHA,0,0.5625,9,806.555555556,316045
0.125,Matched terminal weighted e-BH,0,0.4375,7,1190.42857143,316045
0.15,SAFE-ALPHA,0,0.5625,9,791.555555556,316045
0.15,Matched terminal weighted e-BH,0,0.5,8,1184,316045
0.175,SAFE-ALPHA,0,0.5625,9,771.555555556,316045
0.175,Matched terminal weighted e-BH,0,0.5,8,1184,316045
0.2,SAFE-ALPHA,0,0.75,12,800.583333333,316045
0.2,Matched terminal weighted e-BH,0,0.5625,9,1167.33333333,316045
0.01,SAFE-ALPHA,0,0.9375,15,929.666666667,316046
0.01,Matched terminal weighted e-BH,0,0.75,12,1160.25,316046
0.025,SAFE-ALPHA,0,0.9375,15,835,316046
0.025,Matched terminal weighted e-BH,0,0.875,14,1154,316046
0.05,SAFE-ALPHA,0,1,16,766.8125,316046
0.05,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.075,SAFE-ALPHA,0,1,16,726,316046
0.075,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.1,SAFE-ALPHA,0,1,16,718.8125,316046
0.1,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.125,SAFE-ALPHA,0,1,16,667.25,316046
0.125,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.15,SAFE-ALPHA,0,1,16,623.8125,316046
0.15,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.175,SAFE-ALPHA,0,1,16,606,316046
0.175,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.2,SAFE-ALPHA,0,1,16,583.5,316046
0.2,Matched terminal weighted e-BH,0,1,16,1143.6875,316046
0.01,SAFE-ALPHA,0,0,0,,316047
0.01,Matched terminal weighted e-BH,0,0,0,,316047
0.025,SAFE-ALPHA,0,0.0625,1,1206,316047
0.025,Matched terminal weighted e-BH,0,0,0,,316047
0.05,SAFE-ALPHA,0,0.1875,3,1057.66666667,316047
0.05,Matched terminal weighted e-BH,0,0.0625,1,1244,316047
0.075,SAFE-ALPHA,0,0.1875,3,1024.33333333,316047
0.075,Matched terminal weighted e-BH,0,0.1875,3,1194,316047
0.1,SAFE-ALPHA,0,0.3125,5,997,316047
0.1,Matched terminal weighted e-BH,0,0.25,4,1187.75,316047
0.125,SAFE-ALPHA,0,0.3125,5,948,316047
0.125,Matched terminal weighted e-BH,0,0.3125,5,1175,316047
0.15,SAFE-ALPHA,0,0.3125,5,908,316047
0.15,Matched terminal weighted e-BH,0,0.3125,5,1175,316047
0.175,SAFE-ALPHA,0,0.375,6,946,316047
0.175,Matched terminal weighted e-BH,0,0.3125,5,1175,316047
0.2,SAFE-ALPHA,0,0.375,6,923.5,316047
0.2,Matched terminal weighted e-BH,0,0.3125,5,1175,316047
0.01,SAFE-ALPHA,0,0.8125,13,900.615384615,316048
0.01,Matched terminal weighted e-BH,0,0.5625,9,1185.66666667,316048
0.025,SAFE-ALPHA,0,0.875,14,808.857142857,316048
0.025,Matched terminal weighted e-BH,0,0.8125,13,1154,316048
0.05,SAFE-ALPHA,0,0.9375,15,757,316048
0.05,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.075,SAFE-ALPHA,0,0.9375,15,716.666666667,316048
0.075,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.1,SAFE-ALPHA,0,0.9375,15,638.666666667,316048
0.1,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.125,SAFE-ALPHA,0,0.9375,15,620.666666667,316048
0.125,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.15,SAFE-ALPHA,0,0.9375,15,585.666666667,316048
0.15,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.175,SAFE-ALPHA,0,0.9375,15,563.666666667,316048
0.175,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.2,SAFE-ALPHA,0,0.9375,15,552.666666667,316048
0.2,Matched terminal weighted e-BH,0,0.9375,15,1148,316048
0.01,SAFE-ALPHA,0,0.8125,13,840.615384615,316049
0.01,Matched terminal weighted e-BH,0,0.8125,13,1149.38461538,316049
0.025,SAFE-ALPHA,0,0.875,14,759.928571429,316049
0.025,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.05,SAFE-ALPHA,0,0.875,14,630.285714286,316049
0.05,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.075,SAFE-ALPHA,0,0.875,14,584.571428571,316049
0.075,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.1,SAFE-ALPHA,0,0.875,14,559.214285714,316049
0.1,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.125,SAFE-ALPHA,0,0.875,14,522.428571429,316049
0.125,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.15,SAFE-ALPHA,0,0.875,14,473.5,316049
0.15,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.175,SAFE-ALPHA,0,0.875,14,443.142857143,316049
0.175,Matched terminal weighted e-BH,0,0.875,14,1151.85714286,316049
0.2,SAFE-ALPHA,0,0.9375,15,468.2,316049
0.2,Matched terminal weighted e-BH,0,0.9375,15,1145,316049
0.01,SAFE-ALPHA,0,0.4375,7,943.857142857,316050
0.01,Matched terminal weighted e-BH,0,0.4375,7,1190.42857143,316050
0.025,SAFE-ALPHA,0,0.6875,11,856.909090909,316050
0.025,Matched terminal weighted e-BH,0,0.625,10,1157,316050
0.05,SAFE-ALPHA,0,0.75,12,779.75,316050
0.05,Matched terminal weighted e-BH,0,0.75,12,1147.75,316050
0.075,SAFE-ALPHA,0,0.8125,13,605.230769231,316050
0.075,Matched terminal weighted e-BH,0,0.75,12,1147.75,316050
0.1,SAFE-ALPHA,0,0.8125,13,576,316050
0.1,Matched terminal weighted e-BH,0,0.75,12,1147.75,316050
0.125,SAFE-ALPHA,0,0.8125,13,528.692307692,316050
0.125,Matched terminal weighted e-BH,0,0.75,12,1147.75,316050
0.15,SAFE-ALPHA,0,0.8125,13,522.923076923,316050
0.15,Matched terminal weighted e-BH,0,0.75,12,1147.75,316050
0.175,SAFE-ALPHA,0,0.9375,15,556.533333333,316050
0.175,Matched terminal weighted e-BH,0,0.875,14,1117.57142857,316050
0.2,SAFE-ALPHA,0,1,16,575.5625,316050
0.2,Matched terminal weighted e-BH,0,0.9375,15,1106,316050
0.01,SAFE-ALPHA,0,0.375,6,1037.66666667,316051
0.01,Matched terminal weighted e-BH,0,0.375,6,1219,316051
0.025,SAFE-ALPHA,0,0.5625,9,979.888888889,316051
0.025,Matched terminal weighted e-BH,0,0.5625,9,1199,316051
0.05,SAFE-ALPHA,0,0.625,10,873.5,316051
0.05,Matched terminal weighted e-BH,0,0.625,10,1191.5,316051
0.075,SAFE-ALPHA,0,0.6875,11,869.636363636,316051
0.075,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,316051
0.1,SAFE-ALPHA,0,0.6875,11,826,316051
0.1,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,316051
0.125,SAFE-ALPHA,0,0.6875,11,750.545454545,316051
0.125,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,316051
0.15,SAFE-ALPHA,0,0.6875,11,736.909090909,316051
0.15,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,316051
0.175,SAFE-ALPHA,0,0.6875,11,639.636363636,316051
0.175,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,316051
0.2,SAFE-ALPHA,0,0.75,12,654.75,316051
0.2,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,316051
0.01,SAFE-ALPHA,0,0.375,6,859.333333333,316052
0.01,Matched terminal weighted e-BH,0,0.375,6,1214,316052
0.025,SAFE-ALPHA,0,0.375,6,800.166666667,316052
0.025,Matched terminal weighted e-BH,0,0.375,6,1214,316052
0.05,SAFE-ALPHA,0,0.5,8,808.5,316052
0.05,Matched terminal weighted e-BH,0,0.375,6,1214,316052
0.075,SAFE-ALPHA,0,0.6875,11,835.090909091,316052
0.075,Matched terminal weighted e-BH,0,0.5625,9,1184,316052
0.1,SAFE-ALPHA,0,0.875,14,867.785714286,316052
0.1,Matched terminal weighted e-BH,0,0.8125,13,1164.38461538,316052
0.125,SAFE-ALPHA,0,0.875,14,815.285714286,316052
0.125,Matched terminal weighted e-BH,0,0.875,14,1161.5,316052
0.15,SAFE-ALPHA,0,0.875,14,780.285714286,316052
0.15,Matched terminal weighted e-BH,0,0.875,14,1161.5,316052
0.175,SAFE-ALPHA,0,0.875,14,723.5,316052
0.175,Matched terminal weighted e-BH,0,0.875,14,1161.5,316052
0.2,SAFE-ALPHA,0,0.875,14,707.785714286,316052
0.2,Matched terminal weighted e-BH,0,0.875,14,1161.5,316052
0.01,SAFE-ALPHA,0,0.3125,5,818,316053
0.01,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.025,SAFE-ALPHA,0,0.3125,5,736,316053
0.025,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.05,SAFE-ALPHA,0,0.3125,5,684,316053
0.05,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.075,SAFE-ALPHA,0,0.375,6,572.666666667,316053
0.075,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.1,SAFE-ALPHA,0,0.4375,7,583.857142857,316053
0.1,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.125,SAFE-ALPHA,0,0.4375,7,452.428571429,316053
0.125,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.15,SAFE-ALPHA,0,0.4375,7,447.428571429,316053
0.15,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.175,SAFE-ALPHA,0,0.4375,7,439.571428571,316053
0.175,Matched terminal weighted e-BH,0,0.3125,5,1217,316053
0.2,SAFE-ALPHA,0,0.4375,7,401,316053
0.2,Matched terminal weighted e-BH,0,0.375,6,1209,316053
0.01,SAFE-ALPHA,0,0.25,4,1041,316054
0.01,Matched terminal weighted e-BH,0,0.1875,3,1199,316054
0.025,SAFE-ALPHA,0,0.375,6,1029.33333333,316054
0.025,Matched terminal weighted e-BH,0,0.375,6,1174,316054
0.05,SAFE-ALPHA,0,0.4375,7,974.571428571,316054
0.05,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.075,SAFE-ALPHA,0,0.4375,7,931.714285714,316054
0.075,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.1,SAFE-ALPHA,0,0.4375,7,924.571428571,316054
0.1,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.125,SAFE-ALPHA,0,0.4375,7,913.142857143,316054
0.125,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.15,SAFE-ALPHA,0,0.4375,7,889.571428571,316054
0.15,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.175,SAFE-ALPHA,0,0.4375,7,875.285714286,316054
0.175,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.2,SAFE-ALPHA,0,0.4375,7,559.571428571,316054
0.2,Matched terminal weighted e-BH,0,0.4375,7,1186.14285714,316054
0.01,SAFE-ALPHA,0,0.5625,9,677.666666667,316055
0.01,Matched terminal weighted e-BH,0,0.5625,9,1187.33333333,316055
0.025,SAFE-ALPHA,0,0.6875,11,635.090909091,316055
0.025,Matched terminal weighted e-BH,0,0.5625,9,1187.33333333,316055
0.05,SAFE-ALPHA,0,0.75,12,598.916666667,316055
0.05,Matched terminal weighted e-BH,0,0.6875,11,1164.90909091,316055
0.075,SAFE-ALPHA,0,0.75,12,550.583333333,316055
0.075,Matched terminal weighted e-BH,0,0.75,12,1160.25,316055
0.1,SAFE-ALPHA,0,0.8125,13,568.692307692,316055
0.1,Matched terminal weighted e-BH,0,0.8125,13,1155.15384615,316055
0.125,SAFE-ALPHA,0,0.8125,13,538.692307692,316055
0.125,Matched terminal weighted e-BH,0,0.8125,13,1155.15384615,316055
0.15,SAFE-ALPHA,0.0714285714286,0.8125,14,521.384615385,316055
0.15,Matched terminal weighted e-BH,0,0.8125,13,1155.15384615,316055
0.175,SAFE-ALPHA,0.0714285714286,0.8125,14,507.153846154,316055
0.175,Matched terminal weighted e-BH,0,0.8125,13,1155.15384615,316055
0.2,SAFE-ALPHA,0.0714285714286,0.8125,14,501,316055
0.2,Matched terminal weighted e-BH,0,0.8125,13,1155.15384615,316055
0.01,SAFE-ALPHA,0,0.125,2,391,316056
0.01,Matched terminal weighted e-BH,0,0.125,2,1244,316056
0.025,SAFE-ALPHA,0,0.25,4,426,316056
0.025,Matched terminal weighted e-BH,0,0.125,2,1244,316056
0.05,SAFE-ALPHA,0,0.4375,7,688.857142857,316056
0.05,Matched terminal weighted e-BH,0,0.1875,3,1234,316056
0.075,SAFE-ALPHA,0,0.4375,7,661.714285714,316056
0.075,Matched terminal weighted e-BH,0,0.375,6,1181.5,316056
0.1,SAFE-ALPHA,0,0.5,8,614.125,316056
0.1,Matched terminal weighted e-BH,0,0.375,6,1181.5,316056
0.125,SAFE-ALPHA,0,0.5625,9,586,316056
0.125,Matched terminal weighted e-BH,0,0.375,6,1181.5,316056
0.15,SAFE-ALPHA,0,0.625,10,621.5,316056
0.15,Matched terminal weighted e-BH,0,0.4375,7,1190.42857143,316056
0.175,SAFE-ALPHA,0,0.625,10,617,316056
0.175,Matched terminal weighted e-BH,0,0.4375,7,1190.42857143,316056
0.2,SAFE-ALPHA,0,0.6875,11,647.363636364,316056
0.2,Matched terminal weighted e-BH,0,0.5625,9,1175.66666667,316056
0.01,SAFE-ALPHA,0,0.5625,9,711.555555556,316057
0.01,Matched terminal weighted e-BH,0,0.5625,9,1195.66666667,316057
0.025,SAFE-ALPHA,0,0.6875,11,720.090909091,316057
0.025,Matched terminal weighted e-BH,0,0.6875,11,1175.81818182,316057
0.05,SAFE-ALPHA,0,0.8125,13,653.692307692,316057
0.05,Matched terminal weighted e-BH,0,0.75,12,1169,316057
0.075,SAFE-ALPHA,0,0.875,14,637.428571429,316057
0.075,Matched terminal weighted e-BH,0,0.875,14,1142.21428571,316057
0.1,SAFE-ALPHA,0,0.9375,15,597.533333333,316057
0.1,Matched terminal weighted e-BH,0,0.9375,15,1138,316057
0.125,SAFE-ALPHA,0,0.9375,15,570.333333333,316057
0.125,Matched terminal weighted e-BH,0,0.9375,15,1138,316057
0.15,SAFE-ALPHA,0,0.9375,15,536,316057
0.15,Matched terminal weighted e-BH,0,0.9375,15,1138,316057
0.175,SAFE-ALPHA,0,0.9375,15,494,316057
0.175,Matched terminal weighted e-BH,0,0.9375,15,1138,316057
0.2,SAFE-ALPHA,0,1,16,491.625,316057
0.2,Matched terminal weighted e-BH,0,1,16,1126.8125,316057
0.01,SAFE-ALPHA,0,0.25,4,737.25,316058
0.01,Matched terminal weighted e-BH,0,0.25,4,1221.5,316058
0.025,SAFE-ALPHA,0,0.3125,5,663,316058
0.025,Matched terminal weighted e-BH,0,0.3125,5,1217,316058
0.05,SAFE-ALPHA,0,0.5,8,817.875,316058
0.05,Matched terminal weighted e-BH,0,0.375,6,1209,316058
0.075,SAFE-ALPHA,0,0.5,8,679.75,316058
0.075,Matched terminal weighted e-BH,0,0.4375,7,1194.71428571,316058
0.1,SAFE-ALPHA,0,0.5625,9,553.777777778,316058
0.1,Matched terminal weighted e-BH,0,0.5,8,1182.125,316058
0.125,SAFE-ALPHA,0,0.5625,9,513.222222222,316058
0.125,Matched terminal weighted e-BH,0,0.5625,9,1189,316058
0.15,SAFE-ALPHA,0,0.5625,9,486,316058
0.15,Matched terminal weighted e-BH,0,0.5625,9,1189,316058
0.175,SAFE-ALPHA,0,0.5625,9,474.888888889,316058
0.175,Matched terminal weighted e-BH,0,0.5625,9,1189,316058
0.2,SAFE-ALPHA,0,0.625,10,525.5,316058
0.2,Matched terminal weighted e-BH,0,0.625,10,1172,316058
0.01,SAFE-ALPHA,0,0.0625,1,581,316059
0.01,Matched terminal weighted e-BH,0,0.0625,1,1259,316059
0.025,SAFE-ALPHA,0,0.125,2,706,316059
0.025,Matched terminal weighted e-BH,0,0.125,2,1236.5,316059
0.05,SAFE-ALPHA,0,0.125,2,673.5,316059
0.05,Matched terminal weighted e-BH,0,0.125,2,1236.5,316059
0.075,SAFE-ALPHA,0,0.25,4,752.25,316059
0.075,Matched terminal weighted e-BH,0,0.125,2,1236.5,316059
0.1,SAFE-ALPHA,0,0.4375,7,909.571428571,316059
0.1,Matched terminal weighted e-BH,0,0.1875,3,1214,316059
0.125,SAFE-ALPHA,0,0.4375,7,859.571428571,316059
0.125,Matched terminal weighted e-BH,0,0.1875,3,1214,316059
0.15,SAFE-ALPHA,0,0.4375,7,789.571428571,316059
0.15,Matched terminal weighted e-BH,0,0.4375,7,1188.28571429,316059
0.175,SAFE-ALPHA,0,0.5,8,814.125,316059
0.175,Matched terminal weighted e-BH,0,0.4375,7,1188.28571429,316059
0.2,SAFE-ALPHA,0,0.5,8,805.375,316059
0.2,Matched terminal weighted e-BH,0,0.4375,7,1188.28571429,316059
0.01,SAFE-ALPHA,0,0.8125,13,495.615384615,316060
0.01,Matched terminal weighted e-BH,0,0.5,8,1189.625,316060
0.025,SAFE-ALPHA,0,0.875,14,436.714285714,316060
0.025,Matched terminal weighted e-BH,0,0.5625,9,1184,316060
0.05,SAFE-ALPHA,0,0.9375,15,421.666666667,316060
0.05,Matched terminal weighted e-BH,0,0.625,10,1175,316060
0.075,SAFE-ALPHA,0,0.9375,15,383.666666667,316060
0.075,Matched terminal weighted e-BH,0,0.625,10,1175,316060
0.1,SAFE-ALPHA,0,0.9375,15,372,316060
0.1,Matched terminal weighted e-BH,0,0.6875,11,1163.54545455,316060
0.125,SAFE-ALPHA,0,0.9375,15,348,316060
0.125,Matched terminal weighted e-BH,0,0.75,12,1151.5,316060
0.15,SAFE-ALPHA,0,0.9375,15,326,316060
0.15,Matched terminal weighted e-BH,0,0.875,14,1156.14285714,316060
0.175,SAFE-ALPHA,0,0.9375,15,319.666666667,316060
0.175,Matched terminal weighted e-BH,0,0.9375,15,1150,316060
0.2,SAFE-ALPHA,0,0.9375,15,308,316060
0.2,Matched terminal weighted e-BH,0,0.9375,15,1150,316060
0.01,SAFE-ALPHA,0,0.375,6,682.666666667,316061
0.01,Matched terminal weighted e-BH,0,0.25,4,1206.5,316061
0.025,SAFE-ALPHA,0,0.4375,7,698.857142857,316061
0.025,Matched terminal weighted e-BH,0,0.375,6,1206.5,316061
0.05,SAFE-ALPHA,0,0.5625,9,647.666666667,316061
0.05,Matched terminal weighted e-BH,0,0.5,8,1191.5,316061
0.075,SAFE-ALPHA,0,0.625,10,545,316061
0.075,Matched terminal weighted e-BH,0,0.5625,9,1199,316061
0.1,SAFE-ALPHA,0,0.6875,11,576.909090909,316061
0.1,Matched terminal weighted e-BH,0,0.625,10,1187,316061
0.125,SAFE-ALPHA,0,0.6875,11,551.909090909,316061
0.125,Matched terminal weighted e-BH,0,0.625,10,1187,316061
0.15,SAFE-ALPHA,0,0.75,12,556.833333333,316061
0.15,Matched terminal weighted e-BH,0,0.6875,11,1173.09090909,316061
0.175,SAFE-ALPHA,0,0.75,12,525.583333333,316061
0.175,Matched terminal weighted e-BH,0,0.75,12,1167.75,316061
0.2,SAFE-ALPHA,0,0.8125,13,546.769230769,316061
0.2,Matched terminal weighted e-BH,0,0.75,12,1167.75,316061
0.01,SAFE-ALPHA,0,0.25,4,976,316062
0.01,Matched terminal weighted e-BH,0,0.125,2,1244,316062
0.025,SAFE-ALPHA,0,0.3125,5,816,316062
0.025,Matched terminal weighted e-BH,0,0.125,2,1244,316062
0.05,SAFE-ALPHA,0,0.5,8,856,316062
0.05,Matched terminal weighted e-BH,0,0.1875,3,1229,316062
0.075,SAFE-ALPHA,0,0.5,8,829.75,316062
0.075,Matched terminal weighted e-BH,0,0.1875,3,1229,316062
0.1,SAFE-ALPHA,0,0.5,8,805.375,316062
0.1,Matched terminal weighted e-BH,0,0.1875,3,1229,316062
0.125,SAFE-ALPHA,0,0.5,8,790.375,316062
0.125,Matched terminal weighted e-BH,0,0.25,4,1184,316062
0.15,SAFE-ALPHA,0,0.5,8,712.875,316062
0.15,Matched terminal weighted e-BH,0,0.25,4,1184,316062
0.175,SAFE-ALPHA,0,0.5625,9,719.888888889,316062
0.175,Matched terminal weighted e-BH,0,0.3125,5,1196,316062
0.2,SAFE-ALPHA,0,0.5625,9,698.777777778,316062
0.2,Matched terminal weighted e-BH,0,0.3125,5,1196,316062
0.01,SAFE-ALPHA,0,0,0,,316063
0.01,Matched terminal weighted e-BH,0,0,0,,316063
0.025,SAFE-ALPHA,0,0,0,,316063
0.025,Matched terminal weighted e-BH,0,0,0,,316063
0.05,SAFE-ALPHA,0,0.125,2,1186,316063
0.05,Matched terminal weighted e-BH,0,0.125,2,1199,316063
0.075,SAFE-ALPHA,0,0.125,2,1121,316063
0.075,Matched terminal weighted e-BH,0,0.125,2,1199,316063
0.1,SAFE-ALPHA,0,0.3125,5,1024,316063
0.1,Matched terminal weighted e-BH,0,0.125,2,1199,316063
0.125,SAFE-ALPHA,0,0.3125,5,1015,316063
0.125,Matched terminal weighted e-BH,0,0.125,2,1199,316063
0.15,SAFE-ALPHA,0,0.3125,5,914,316063
0.15,Matched terminal weighted e-BH,0,0.125,2,1199,316063
0.175,SAFE-ALPHA,0,0.3125,5,885,316063
0.175,Matched terminal weighted e-BH,0,0.3125,5,1223,316063
0.2,SAFE-ALPHA,0,0.3125,5,855,316063
0.2,Matched terminal weighted e-BH,0,0.3125,5,1223,316063
0.01,SAFE-ALPHA,0,0.625,10,1030,316064
0.01,Matched terminal weighted e-BH,0,0.5,8,1174.625,316064
0.025,SAFE-ALPHA,0,0.6875,11,878.272727273,316064
0.025,Matched terminal weighted e-BH,0,0.5625,9,1165.66666667,316064
0.05,SAFE-ALPHA,0,0.8125,13,828.692307692,316064
0.05,Matched terminal weighted e-BH,0,0.75,12,1167.75,316064
0.075,SAFE-ALPHA,0,0.9375,15,820.333333333,316064
0.075,Matched terminal weighted e-BH,0,0.9375,15,1147,316064
0.1,SAFE-ALPHA,0,0.9375,15,796,316064
0.1,Matched terminal weighted e-BH,0,0.9375,15,1147,316064
0.125,SAFE-ALPHA,0,0.9375,15,779,316064
0.125,Matched terminal weighted e-BH,0,0.9375,15,1147,316064
0.15,SAFE-ALPHA,0,0.9375,15,757.666666667,316064
0.15,Matched terminal weighted e-BH,0,0.9375,15,1147,316064
0.175,SAFE-ALPHA,0,0.9375,15,742.333333333,316064
0.175,Matched terminal weighted e-BH,0,0.9375,15,1147,316064
0.2,SAFE-ALPHA,0,0.9375,15,736.333333333,316064
0.2,Matched terminal weighted e-BH,0,0.9375,15,1147,316064
0.01,SAFE-ALPHA,0,0.3125,5,625,316065
0.01,Matched terminal weighted e-BH,0,0.25,4,1229,316065
0.025,SAFE-ALPHA,0,0.375,6,584.333333333,316065
0.025,Matched terminal weighted e-BH,0,0.375,6,1209,316065
0.05,SAFE-ALPHA,0,0.4375,7,391.714285714,316065
0.05,Matched terminal weighted e-BH,0,0.375,6,1209,316065
0.075,SAFE-ALPHA,0,0.5,8,451.625,316065
0.075,Matched terminal weighted e-BH,0,0.375,6,1209,316065
0.1,SAFE-ALPHA,0,0.5,8,438.5,316065
0.1,Matched terminal weighted e-BH,0,0.375,6,1209,316065
0.125,SAFE-ALPHA,0,0.5,8,434.125,316065
0.125,Matched terminal weighted e-BH,0,0.4375,7,1203.28571429,316065
0.15,SAFE-ALPHA,0,0.625,10,286.5,316065
0.15,Matched terminal weighted e-BH,0,0.5,8,1202.75,316065
0.175,SAFE-ALPHA,0,0.75,12,369.166666667,316065
0.175,Matched terminal weighted e-BH,0,0.5,8,1202.75,316065
0.2,SAFE-ALPHA,0,0.8125,13,404.076923077,316065
0.2,Matched terminal weighted e-BH,0,0.5,8,1202.75,316065
0.01,SAFE-ALPHA,0,0.5,8,486,316066
0.01,Matched terminal weighted e-BH,0,0.1875,3,1204,316066
0.025,SAFE-ALPHA,0,0.5625,9,456,316066
0.025,Matched terminal weighted e-BH,0,0.1875,3,1204,316066
0.05,SAFE-ALPHA,0,0.625,10,470.5,316066
0.05,Matched terminal weighted e-BH,0,0.25,4,1180.25,316066
0.075,SAFE-ALPHA,0,0.625,10,437,316066
0.075,Matched terminal weighted e-BH,0,0.5,8,1170.875,316066
0.1,SAFE-ALPHA,0,0.6875,11,372.363636364,316066
0.1,Matched terminal weighted e-BH,0,0.5,8,1170.875,316066
0.125,SAFE-ALPHA,0,0.75,12,361,316066
0.125,Matched terminal weighted e-BH,0,0.5,8,1170.875,316066
0.15,SAFE-ALPHA,0,0.8125,13,362.153846154,316066
0.15,Matched terminal weighted e-BH,0,0.5,8,1170.875,316066
0.175,SAFE-ALPHA,0,0.875,14,395.285714286,316066
0.175,Matched terminal weighted e-BH,0,0.8125,13,1151.69230769,316066
0.2,SAFE-ALPHA,0,0.875,14,389.928571429,316066
0.2,Matched terminal weighted e-BH,0,0.8125,13,1151.69230769,316066
0.01,SAFE-ALPHA,0,0.5625,9,709.333333333,316067
0.01,Matched terminal weighted e-BH,0,0.1875,3,1194,316067
0.025,SAFE-ALPHA,0,0.625,10,545.5,316067
0.025,Matched terminal weighted e-BH,0,0.1875,3,1194,316067
0.05,SAFE-ALPHA,0,0.625,10,449.5,316067
0.05,Matched terminal weighted e-BH,0,0.5625,9,1190.66666667,316067
0.075,SAFE-ALPHA,0,0.6875,11,456,316067
0.075,Matched terminal weighted e-BH,0,0.5625,9,1190.66666667,316067
0.1,SAFE-ALPHA,0,0.6875,11,424.181818182,316067
0.1,Matched terminal weighted e-BH,0,0.625,10,1178,316067
