q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.15,Matched terminal weighted e-BH,0,0.8125,13,1159.76923077,315918
0.175,SAFE-ALPHA,0,0.875,14,779.928571429,315918
0.175,Matched terminal weighted e-BH,0,0.8125,13,1159.76923077,315918
0.2,SAFE-ALPHA,0,0.875,14,769.571428571,315918
0.2,Matched terminal weighted e-BH,0,0.875,14,1148.64285714,315918
0.01,SAFE-ALPHA,0,0.0625,1,611,315919
0.01,Matched terminal weighted e-BH,0,0.0625,1,1244,315919
0.025,SAFE-ALPHA,0,0.0625,1,596,315919
0.025,Matched terminal weighted e-BH,0,0.0625,1,1244,315919
0.05,SAFE-ALPHA,0,0.125,2,746,315919
0.05,Matched terminal weighted e-BH,0,0.0625,1,1244,315919
0.075,SAFE-ALPHA,0,0.1875,3,751,315919
0.075,Matched terminal weighted e-BH,0,0.125,2,1214,315919
0.1,SAFE-ALPHA,0,0.1875,3,679.333333333,315919
0.1,Matched terminal weighted e-BH,0,0.125,2,1214,315919
0.125,SAFE-ALPHA,0,0.1875,3,652.666666667,315919
0.125,Matched terminal weighted e-BH,0,0.125,2,1214,315919
0.15,SAFE-ALPHA,0,0.1875,3,591,315919
0.15,Matched terminal weighted e-BH,0,0.125,2,1214,315919
0.175,SAFE-ALPHA,0,0.1875,3,541,315919
0.175,Matched terminal weighted e-BH,0,0.125,2,1214,315919
0.2,SAFE-ALPHA,0,0.1875,3,536,315919
0.2,Matched terminal weighted e-BH,0,0.1875,3,1229,315919
0.01,SAFE-ALPHA,0,0,0,,315920
0.01,Matched terminal weighted e-BH,0,0,0,,315920
0.025,SAFE-ALPHA,0,0,0,,315920
0.025,Matched terminal weighted e-BH,0,0,0,,315920
0.05,SAFE-ALPHA,0,0.125,2,958.5,315920
0.05,Matched terminal weighted e-BH,0,0,0,,315920
0.075,SAFE-ALPHA,0,0.125,2,913.5,315920
0.075,Matched terminal weighted e-BH,0,0.0625,1,1184,315920
0.1,SAFE-ALPHA,0,0.125,2,868.5,315920
0.1,Matched terminal weighted e-BH,0,0.0625,1,1184,315920
0.125,SAFE-ALPHA,0,0.125,2,856,315920
0.125,Matched terminal weighted e-BH,0,0.0625,1,1184,315920
0.15,SAFE-ALPHA,0,0.125,2,816,315920
0.15,Matched terminal weighted e-BH,0,0.0625,1,1184,315920
0.175,SAFE-ALPHA,0,0.125,2,751,315920
0.175,Matched terminal weighted e-BH,0,0.0625,1,1184,315920
0.2,SAFE-ALPHA,0,0.125,2,628.5,315920
0.2,Matched terminal weighted e-BH,0,0.0625,1,1184,315920
0.01,SAFE-ALPHA,0,0.6875,11,680.545454545,315921
0.01,Matched terminal weighted e-BH,0,0.5,8,1199,315921
0.025,SAFE-ALPHA,0,0.75,12,651.833333333,315921
0.025,Matched terminal weighted e-BH,0,0.5625,9,1190.66666667,315921
0.05,SAFE-ALPHA,0,0.75,12,596,315921
0.05,Matched terminal weighted e-BH,0,0.6875,11,1178.54545455,315921
0.075,SAFE-ALPHA,0,0.8125,13,486,315921
