design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
telescoping-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000021,0.0,0.0625,0.0625,1.0,1,1259.0,0.0,0.0625
campaign-fixed,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000021,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,623.5,0.0,0.0625
telescoping-hedged,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,668.5,0.0,0.0625
campaign-fixed,1.0,0.5,41000022,0.0,0.125,0.125,1.0,2,698.5,0.0,0.0625
campaign-hedged,1.0,0.5,41000022,0.0,0.0625,0.0625,1.0,1,686.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000023,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000024,0.0,0.125,0.125,1.0,2,1141.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000024,0.0,0.0625,0.0625,1.0,1,1146.0,0.0,0.0625
campaign-fixed,1.0,0.5,41000024,0.0,0.25,0.25,1.0,4,1124.75,0.0,0.125
campaign-hedged,1.0,0.5,41000024,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000025,0.0,0.5625,0.5625,1.0,9,948.2222222222222,0.0,0.4375
telescoping-hedged,1.0,0.5,41000025,0.0,0.4375,0.4375,1.0,7,1009.5714285714286,0.0,0.4375
campaign-fixed,1.0,0.5,41000025,0.0,0.8125,0.8125,1.0,13,907.1538461538462,0.0,0.6875
campaign-hedged,1.0,0.5,41000025,0.0,0.4375,0.4375,1.0,7,991.0,0.0,0.4375
telescoping-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1026.0,0.0,0.1875
telescoping-hedged,1.0,0.5,41000026,0.0,0.125,0.125,1.0,2,1058.5,0.0,0.125
campaign-fixed,1.0,0.5,41000026,0.0,0.1875,0.1875,1.0,3,1041.0,0.0,0.1875
campaign-hedged,1.0,0.5,41000026,0.0,0.125,0.125,1.0,2,1218.5,0.0,0.0
telescoping-fixed,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,971.0,0.0,0.1875
telescoping-hedged,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,1054.75,0.0,0.125
campaign-fixed,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,992.25,0.0,0.0625
campaign-hedged,1.0,0.5,41000027,0.0,0.1875,0.1875,1.0,3,1107.6666666666667,0.0,0.0625
telescoping-fixed,1.0,0.5,41000028,0.0,0.4375,0.4375,1.0,7,816.0,0.0,0.4375
telescoping-hedged,1.0,0.5,41000028,0.0,0.3125,0.3125,1.0,5,793.0,0.0,0.3125
campaign-fixed,1.0,0.5,41000028,0.0,0.5,0.5,1.0,8,846.0,0.0,0.4375
campaign-hedged,1.0,0.5,41000028,0.0,0.375,0.375,1.0,6,853.5,0.0,0.3125
telescoping-fixed,1.0,0.5,41000029,0.0,0.1875,0.1875,1.0,3,1201.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000029,0.0,0.1875,0.1875,1.0,3,1201.0,0.0,0.0625
campaign-fixed,1.0,0.5,41000029,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000029,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000030,0.3333333333333333,0.125,0.125,1.0,3,671.0,0.3333333333333333,0.125
telescoping-hedged,1.0,0.5,41000030,0.0,0.125,0.125,1.0,2,743.5,0.0,0.125
campaign-fixed,1.0,0.5,41000030,0.25,0.1875,0.1875,1.0,4,614.3333333333334,0.25,0.1875
campaign-hedged,1.0,0.5,41000030,0.0,0.1875,0.1875,1.0,3,689.3333333333334,0.0,0.1875
telescoping-fixed,1.0,0.5,41000031,0.0,0.0,0.0,1.0,0,,0.0,0.0
