design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
campaign75-fixed-daily,1.5,0.5,315921,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315921,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315921,36-50,0,0
telescoping-fixed,1.5,0.5,315922,1-5,5,5
telescoping-fixed,1.5,0.5,315922,6-10,5,5
telescoping-fixed,1.5,0.5,315922,11-20,6,6
telescoping-fixed,1.5,0.5,315922,21-35,0,0
telescoping-fixed,1.5,0.5,315922,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315922,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315922,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315922,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315922,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315922,36-50,0,0
telescoping-fixed,1.5,0.5,315923,1-5,5,5
telescoping-fixed,1.5,0.5,315923,6-10,5,4
telescoping-fixed,1.5,0.5,315923,11-20,4,1
telescoping-fixed,1.5,0.5,315923,21-35,2,0
telescoping-fixed,1.5,0.5,315923,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315923,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315923,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315923,11-20,4,2
campaign75-fixed-daily,1.5,0.5,315923,21-35,2,2
campaign75-fixed-daily,1.5,0.5,315923,36-50,0,0
telescoping-fixed,1.5,0.5,315924,1-5,5,5
telescoping-fixed,1.5,0.5,315924,6-10,5,5
telescoping-fixed,1.5,0.5,315924,11-20,3,3
telescoping-fixed,1.5,0.5,315924,21-35,2,1
telescoping-fixed,1.5,0.5,315924,36-50,1,0
campaign75-fixed-daily,1.5,0.5,315924,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315924,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315924,11-20,3,3
campaign75-fixed-daily,1.5,0.5,315924,21-35,2,2
campaign75-fixed-daily,1.5,0.5,315924,36-50,1,0
