design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,1.5,0.5,316003,1-5,5,0
telescoping-fixed,1.5,0.5,316003,6-10,5,0
telescoping-fixed,1.5,0.5,316003,11-20,6,0
telescoping-fixed,1.5,0.5,316003,21-35,0,0
telescoping-fixed,1.5,0.5,316003,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316003,1-5,5,0
campaign75-fixed-daily,1.5,0.5,316003,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316003,11-20,6,0
campaign75-fixed-daily,1.5,0.5,316003,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316003,36-50,0,0
telescoping-fixed,1.5,0.5,316004,1-5,5,5
telescoping-fixed,1.5,0.5,316004,6-10,5,4
telescoping-fixed,1.5,0.5,316004,11-20,4,0
telescoping-fixed,1.5,0.5,316004,21-35,2,0
telescoping-fixed,1.5,0.5,316004,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316004,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316004,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316004,11-20,4,3
campaign75-fixed-daily,1.5,0.5,316004,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316004,36-50,0,0
telescoping-fixed,1.5,0.5,316005,1-5,5,0
telescoping-fixed,1.5,0.5,316005,6-10,5,0
telescoping-fixed,1.5,0.5,316005,11-20,4,0
telescoping-fixed,1.5,0.5,316005,21-35,2,0
telescoping-fixed,1.5,0.5,316005,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316005,1-5,5,0
campaign75-fixed-daily,1.5,0.5,316005,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316005,11-20,4,0
campaign75-fixed-daily,1.5,0.5,316005,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316005,36-50,0,0
telescoping-fixed,1.5,0.5,316006,1-5,5,5
telescoping-fixed,1.5,0.5,316006,6-10,5,5
telescoping-fixed,1.5,0.5,316006,11-20,6,4
telescoping-fixed,1.5,0.5,316006,21-35,0,0
telescoping-fixed,1.5,0.5,316006,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316006,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316006,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316006,11-20,6,5
campaign75-fixed-daily,1.5,0.5,316006,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316006,36-50,0,0
telescoping-fixed,1.5,0.5,316007,1-5,5,1
telescoping-fixed,1.5,0.5,316007,6-10,5,0
telescoping-fixed,1.5,0.5,316007,11-20,6,0
telescoping-fixed,1.5,0.5,316007,21-35,0,0
telescoping-fixed,1.5,0.5,316007,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316007,1-5,5,1
campaign75-fixed-daily,1.5,0.5,316007,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316007,11-20,6,0
campaign75-fixed-daily,1.5,0.5,316007,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316007,36-50,0,0
telescoping-fixed,1.5,0.5,316008,1-5,5,3
telescoping-fixed,1.5,0.5,316008,6-10,5,0
telescoping-fixed,1.5,0.5,316008,11-20,6,0
telescoping-fixed,1.5,0.5,316008,21-35,0,0
telescoping-fixed,1.5,0.5,316008,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316008,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316008,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316008,11-20,6,1
campaign75-fixed-daily,1.5,0.5,316008,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316008,36-50,0,0
telescoping-fixed,1.5,0.5,316009,1-5,5,2
telescoping-fixed,1.5,0.5,316009,6-10,4,3
telescoping-fixed,1.5,0.5,316009,11-20,6,3
telescoping-fixed,1.5,0.5,316009,21-35,1,0
telescoping-fixed,1.5,0.5,316009,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316009,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316009,6-10,4,3
campaign75-fixed-daily,1.5,0.5,316009,11-20,6,3
campaign75-fixed-daily,1.5,0.5,316009,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316009,36-50,0,0
telescoping-fixed,1.5,0.5,316010,1-5,5,5
telescoping-fixed,1.5,0.5,316010,6-10,5,3
telescoping-fixed,1.5,0.5,316010,11-20,4,2
telescoping-fixed,1.5,0.5,316010,21-35,2,0
telescoping-fixed,1.5,0.5,316010,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316010,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316010,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316010,11-20,4,3
campaign75-fixed-daily,1.5,0.5,316010,21-35,2,1
campaign75-fixed-daily,1.5,0.5,316010,36-50,0,0
telescoping-fixed,1.5,0.5,316011,1-5,5,5
telescoping-fixed,1.5,0.5,316011,6-10,5,5
telescoping-fixed,1.5,0.5,316011,11-20,5,5
telescoping-fixed,1.5,0.5,316011,21-35,1,1
telescoping-fixed,1.5,0.5,316011,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316011,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316011,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316011,11-20,5,5
campaign75-fixed-daily,1.5,0.5,316011,21-35,1,1
campaign75-fixed-daily,1.5,0.5,316011,36-50,0,0
telescoping-fixed,1.5,0.5,316012,1-5,5,3
telescoping-fixed,1.5,0.5,316012,6-10,5,1
telescoping-fixed,1.5,0.5,316012,11-20,6,0
telescoping-fixed,1.5,0.5,316012,21-35,0,0
telescoping-fixed,1.5,0.5,316012,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316012,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316012,6-10,5,1
campaign75-fixed-daily,1.5,0.5,316012,11-20,6,0
campaign75-fixed-daily,1.5,0.5,316012,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316012,36-50,0,0
telescoping-fixed,1.5,0.5,316013,1-5,5,3
telescoping-fixed,1.5,0.5,316013,6-10,5,0
telescoping-fixed,1.5,0.5,316013,11-20,5,0
telescoping-fixed,1.5,0.5,316013,21-35,1,0
telescoping-fixed,1.5,0.5,316013,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316013,1-5,5,1
campaign75-fixed-daily,1.5,0.5,316013,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316013,11-20,5,1
campaign75-fixed-daily,1.5,0.5,316013,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316013,36-50,0,0
telescoping-fixed,1.5,0.5,316014,1-5,5,4
telescoping-fixed,1.5,0.5,316014,6-10,5,5
telescoping-fixed,1.5,0.5,316014,11-20,6,3
telescoping-fixed,1.5,0.5,316014,21-35,0,0
telescoping-fixed,1.5,0.5,316014,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316014,1-5,5,4
campaign75-fixed-daily,1.5,0.5,316014,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316014,11-20,6,5
campaign75-fixed-daily,1.5,0.5,316014,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316014,36-50,0,0
telescoping-fixed,1.5,0.5,316015,1-5,5,4
telescoping-fixed,1.5,0.5,316015,6-10,5,3
telescoping-fixed,1.5,0.5,316015,11-20,5,0
telescoping-fixed,1.5,0.5,316015,21-35,1,0
telescoping-fixed,1.5,0.5,316015,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316015,1-5,5,4
campaign75-fixed-daily,1.5,0.5,316015,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316015,11-20,5,1
campaign75-fixed-daily,1.5,0.5,316015,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316015,36-50,0,0
telescoping-fixed,1.5,0.5,316016,1-5,5,5
telescoping-fixed,1.5,0.5,316016,6-10,5,5
telescoping-fixed,1.5,0.5,316016,11-20,6,4
telescoping-fixed,1.5,0.5,316016,21-35,0,0
telescoping-fixed,1.5,0.5,316016,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316016,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316016,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316016,11-20,6,5
campaign75-fixed-daily,1.5,0.5,316016,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316016,36-50,0,0
telescoping-fixed,1.5,0.5,316017,1-5,4,3
telescoping-fixed,1.5,0.5,316017,6-10,5,2
telescoping-fixed,1.5,0.5,316017,11-20,5,0
telescoping-fixed,1.5,0.5,316017,21-35,2,0
telescoping-fixed,1.5,0.5,316017,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316017,1-5,4,3
campaign75-fixed-daily,1.5,0.5,316017,6-10,5,2
campaign75-fixed-daily,1.5,0.5,316017,11-20,5,2
campaign75-fixed-daily,1.5,0.5,316017,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316017,36-50,0,0
telescoping-fixed,1.5,0.5,316018,1-5,5,5
telescoping-fixed,1.5,0.5,316018,6-10,4,3
telescoping-fixed,1.5,0.5,316018,11-20,5,0
telescoping-fixed,1.5,0.5,316018,21-35,2,0
telescoping-fixed,1.5,0.5,316018,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316018,1-5,5,4
campaign75-fixed-daily,1.5,0.5,316018,6-10,4,3
campaign75-fixed-daily,1.5,0.5,316018,11-20,5,1
campaign75-fixed-daily,1.5,0.5,316018,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316018,36-50,0,0
telescoping-fixed,1.5,0.5,316019,1-5,5,2
telescoping-fixed,1.5,0.5,316019,6-10,5,0
telescoping-fixed,1.5,0.5,316019,11-20,5,0
telescoping-fixed,1.5,0.5,316019,21-35,1,0
telescoping-fixed,1.5,0.5,316019,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316019,1-5,5,0
campaign75-fixed-daily,1.5,0.5,316019,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316019,11-20,5,0
campaign75-fixed-daily,1.5,0.5,316019,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316019,36-50,0,0
telescoping-fixed,1.5,0.5,316020,1-5,5,5
telescoping-fixed,1.5,0.5,316020,6-10,5,5
telescoping-fixed,1.5,0.5,316020,11-20,6,5
telescoping-fixed,1.5,0.5,316020,21-35,0,0
telescoping-fixed,1.5,0.5,316020,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316020,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316020,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316020,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316020,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316020,36-50,0,0
telescoping-fixed,1.5,0.5,316021,1-5,5,4
telescoping-fixed,1.5,0.5,316021,6-10,5,1
telescoping-fixed,1.5,0.5,316021,11-20,5,2
telescoping-fixed,1.5,0.5,316021,21-35,1,0
telescoping-fixed,1.5,0.5,316021,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316021,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316021,6-10,5,1
campaign75-fixed-daily,1.5,0.5,316021,11-20,5,2
campaign75-fixed-daily,1.5,0.5,316021,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316021,36-50,0,0
telescoping-fixed,1.5,0.5,316022,1-5,5,2
telescoping-fixed,1.5,0.5,316022,6-10,5,1
telescoping-fixed,1.5,0.5,316022,11-20,5,3
telescoping-fixed,1.5,0.5,316022,21-35,1,0
telescoping-fixed,1.5,0.5,316022,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316022,1-5,5,2
campaign75-fixed-daily,1.5,0.5,316022,6-10,5,1
campaign75-fixed-daily,1.5,0.5,316022,11-20,5,3
campaign75-fixed-daily,1.5,0.5,316022,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316022,36-50,0,0
telescoping-fixed,1.5,0.5,316023,1-5,5,5
telescoping-fixed,1.5,0.5,316023,6-10,5,4
telescoping-fixed,1.5,0.5,316023,11-20,6,2
telescoping-fixed,1.5,0.5,316023,21-35,0,0
telescoping-fixed,1.5,0.5,316023,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316023,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316023,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316023,11-20,6,3
campaign75-fixed-daily,1.5,0.5,316023,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316023,36-50,0,0
telescoping-fixed,1.5,0.5,316024,1-5,5,4
telescoping-fixed,1.5,0.5,316024,6-10,5,3
telescoping-fixed,1.5,0.5,316024,11-20,6,3
telescoping-fixed,1.5,0.5,316024,21-35,0,0
telescoping-fixed,1.5,0.5,316024,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316024,1-5,5,4
campaign75-fixed-daily,1.5,0.5,316024,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316024,11-20,6,4
campaign75-fixed-daily,1.5,0.5,316024,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316024,36-50,0,0
telescoping-fixed,1.5,0.5,316025,1-5,5,4
telescoping-fixed,1.5,0.5,316025,6-10,5,1
telescoping-fixed,1.5,0.5,316025,11-20,4,0
telescoping-fixed,1.5,0.5,316025,21-35,2,0
telescoping-fixed,1.5,0.5,316025,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316025,1-5,5,1
campaign75-fixed-daily,1.5,0.5,316025,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316025,11-20,4,0
campaign75-fixed-daily,1.5,0.5,316025,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316025,36-50,0,0
telescoping-fixed,1.5,0.5,316026,1-5,5,0
telescoping-fixed,1.5,0.5,316026,6-10,5,0
telescoping-fixed,1.5,0.5,316026,11-20,6,0
telescoping-fixed,1.5,0.5,316026,21-35,0,0
telescoping-fixed,1.5,0.5,316026,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316026,1-5,5,0
campaign75-fixed-daily,1.5,0.5,316026,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316026,11-20,6,0
campaign75-fixed-daily,1.5,0.5,316026,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316026,36-50,0,0
telescoping-fixed,1.5,0.5,316027,1-5,5,3
telescoping-fixed,1.5,0.5,316027,6-10,5,2
telescoping-fixed,1.5,0.5,316027,11-20,6,0
telescoping-fixed,1.5,0.5,316027,21-35,0,0
telescoping-fixed,1.5,0.5,316027,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316027,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316027,6-10,5,2
campaign75-fixed-daily,1.5,0.5,316027,11-20,6,1
campaign75-fixed-daily,1.5,0.5,316027,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316027,36-50,0,0
telescoping-fixed,1.5,0.5,316028,1-5,5,5
telescoping-fixed,1.5,0.5,316028,6-10,4,4
telescoping-fixed,1.5,0.5,316028,11-20,6,2
telescoping-fixed,1.5,0.5,316028,21-35,1,0
telescoping-fixed,1.5,0.5,316028,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316028,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316028,6-10,4,4
campaign75-fixed-daily,1.5,0.5,316028,11-20,6,3
campaign75-fixed-daily,1.5,0.5,316028,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316028,36-50,0,0
telescoping-fixed,1.5,0.5,316029,1-5,5,1
telescoping-fixed,1.5,0.5,316029,6-10,5,0
telescoping-fixed,1.5,0.5,316029,11-20,5,0
telescoping-fixed,1.5,0.5,316029,21-35,0,0
telescoping-fixed,1.5,0.5,316029,36-50,1,0
campaign75-fixed-daily,1.5,0.5,316029,1-5,5,1
campaign75-fixed-daily,1.5,0.5,316029,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316029,11-20,5,0
campaign75-fixed-daily,1.5,0.5,316029,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316029,36-50,1,0
telescoping-fixed,1.5,0.5,316030,1-5,5,5
telescoping-fixed,1.5,0.5,316030,6-10,5,2
telescoping-fixed,1.5,0.5,316030,11-20,6,5
telescoping-fixed,1.5,0.5,316030,21-35,0,0
telescoping-fixed,1.5,0.5,316030,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316030,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316030,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316030,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316030,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316030,36-50,0,0
telescoping-fixed,1.5,0.5,316031,1-5,5,2
telescoping-fixed,1.5,0.5,316031,6-10,5,3
telescoping-fixed,1.5,0.5,316031,11-20,5,1
telescoping-fixed,1.5,0.5,316031,21-35,1,0
telescoping-fixed,1.5,0.5,316031,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316031,1-5,5,2
campaign75-fixed-daily,1.5,0.5,316031,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316031,11-20,5,2
campaign75-fixed-daily,1.5,0.5,316031,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316031,36-50,0,0
telescoping-fixed,1.5,0.5,316032,1-5,5,5
telescoping-fixed,1.5,0.5,316032,6-10,5,5
telescoping-fixed,1.5,0.5,316032,11-20,5,5
telescoping-fixed,1.5,0.5,316032,21-35,1,0
telescoping-fixed,1.5,0.5,316032,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316032,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316032,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316032,11-20,5,5
campaign75-fixed-daily,1.5,0.5,316032,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316032,36-50,0,0
telescoping-fixed,1.5,0.5,316033,1-5,5,1
telescoping-fixed,1.5,0.5,316033,6-10,5,0
telescoping-fixed,1.5,0.5,316033,11-20,4,0
telescoping-fixed,1.5,0.5,316033,21-35,2,0
telescoping-fixed,1.5,0.5,316033,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316033,1-5,5,1
campaign75-fixed-daily,1.5,0.5,316033,6-10,5,0
campaign75-fixed-daily,1.5,0.5,316033,11-20,4,0
campaign75-fixed-daily,1.5,0.5,316033,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316033,36-50,0,0
telescoping-fixed,1.5,0.5,316034,1-5,5,5
telescoping-fixed,1.5,0.5,316034,6-10,5,5
telescoping-fixed,1.5,0.5,316034,11-20,5,3
telescoping-fixed,1.5,0.5,316034,21-35,0,0
telescoping-fixed,1.5,0.5,316034,36-50,1,0
campaign75-fixed-daily,1.5,0.5,316034,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316034,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316034,11-20,5,4
campaign75-fixed-daily,1.5,0.5,316034,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316034,36-50,1,0
telescoping-fixed,1.5,0.5,316035,1-5,5,4
telescoping-fixed,1.5,0.5,316035,6-10,5,3
telescoping-fixed,1.5,0.5,316035,11-20,6,0
telescoping-fixed,1.5,0.5,316035,21-35,0,0
telescoping-fixed,1.5,0.5,316035,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316035,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316035,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316035,11-20,6,0
campaign75-fixed-daily,1.5,0.5,316035,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316035,36-50,0,0
telescoping-fixed,1.5,0.5,316036,1-5,5,5
telescoping-fixed,1.5,0.5,316036,6-10,5,5
telescoping-fixed,1.5,0.5,316036,11-20,6,3
telescoping-fixed,1.5,0.5,316036,21-35,0,0
telescoping-fixed,1.5,0.5,316036,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316036,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316036,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316036,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316036,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316036,36-50,0,0
telescoping-fixed,1.5,0.5,316037,1-5,5,5
telescoping-fixed,1.5,0.5,316037,6-10,4,4
telescoping-fixed,1.5,0.5,316037,11-20,5,5
telescoping-fixed,1.5,0.5,316037,21-35,2,0
telescoping-fixed,1.5,0.5,316037,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316037,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316037,6-10,4,4
campaign75-fixed-daily,1.5,0.5,316037,11-20,5,5
campaign75-fixed-daily,1.5,0.5,316037,21-35,2,2
campaign75-fixed-daily,1.5,0.5,316037,36-50,0,0
telescoping-fixed,1.5,0.5,316038,1-5,5,5
telescoping-fixed,1.5,0.5,316038,6-10,5,3
telescoping-fixed,1.5,0.5,316038,11-20,6,4
telescoping-fixed,1.5,0.5,316038,21-35,0,0
telescoping-fixed,1.5,0.5,316038,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316038,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316038,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316038,11-20,6,5
campaign75-fixed-daily,1.5,0.5,316038,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316038,36-50,0,0
telescoping-fixed,1.5,0.5,316039,1-5,5,4
telescoping-fixed,1.5,0.5,316039,6-10,5,0
telescoping-fixed,1.5,0.5,316039,11-20,6,0
telescoping-fixed,1.5,0.5,316039,21-35,0,0
telescoping-fixed,1.5,0.5,316039,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316039,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316039,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316039,11-20,6,1
campaign75-fixed-daily,1.5,0.5,316039,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316039,36-50,0,0
telescoping-fixed,1.5,0.5,316040,1-5,5,5
telescoping-fixed,1.5,0.5,316040,6-10,4,2
telescoping-fixed,1.5,0.5,316040,11-20,5,0
telescoping-fixed,1.5,0.5,316040,21-35,2,0
telescoping-fixed,1.5,0.5,316040,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316040,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316040,6-10,4,3
campaign75-fixed-daily,1.5,0.5,316040,11-20,5,4
campaign75-fixed-daily,1.5,0.5,316040,21-35,2,1
campaign75-fixed-daily,1.5,0.5,316040,36-50,0,0
telescoping-fixed,1.5,0.5,316041,1-5,5,2
telescoping-fixed,1.5,0.5,316041,6-10,5,0
telescoping-fixed,1.5,0.5,316041,11-20,6,0
telescoping-fixed,1.5,0.5,316041,21-35,0,0
telescoping-fixed,1.5,0.5,316041,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316041,1-5,5,2
campaign75-fixed-daily,1.5,0.5,316041,6-10,5,1
campaign75-fixed-daily,1.5,0.5,316041,11-20,6,0
campaign75-fixed-daily,1.5,0.5,316041,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316041,36-50,0,0
telescoping-fixed,1.5,0.5,316042,1-5,5,2
telescoping-fixed,1.5,0.5,316042,6-10,5,1
telescoping-fixed,1.5,0.5,316042,11-20,4,0
telescoping-fixed,1.5,0.5,316042,21-35,2,0
telescoping-fixed,1.5,0.5,316042,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316042,1-5,5,2
campaign75-fixed-daily,1.5,0.5,316042,6-10,5,1
campaign75-fixed-daily,1.5,0.5,316042,11-20,4,0
campaign75-fixed-daily,1.5,0.5,316042,21-35,2,0
campaign75-fixed-daily,1.5,0.5,316042,36-50,0,0
telescoping-fixed,1.5,0.5,316043,1-5,5,5
telescoping-fixed,1.5,0.5,316043,6-10,5,2
telescoping-fixed,1.5,0.5,316043,11-20,5,1
telescoping-fixed,1.5,0.5,316043,21-35,1,0
telescoping-fixed,1.5,0.5,316043,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316043,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316043,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316043,11-20,5,1
campaign75-fixed-daily,1.5,0.5,316043,21-35,1,1
campaign75-fixed-daily,1.5,0.5,316043,36-50,0,0
telescoping-fixed,1.5,0.5,316044,1-5,5,5
telescoping-fixed,1.5,0.5,316044,6-10,5,5
telescoping-fixed,1.5,0.5,316044,11-20,6,5
telescoping-fixed,1.5,0.5,316044,21-35,0,0
telescoping-fixed,1.5,0.5,316044,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316044,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316044,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316044,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316044,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316044,36-50,0,0
telescoping-fixed,1.5,0.5,316045,1-5,5,3
telescoping-fixed,1.5,0.5,316045,6-10,5,5
telescoping-fixed,1.5,0.5,316045,11-20,6,1
telescoping-fixed,1.5,0.5,316045,21-35,0,0
telescoping-fixed,1.5,0.5,316045,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316045,1-5,5,3
campaign75-fixed-daily,1.5,0.5,316045,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316045,11-20,6,3
campaign75-fixed-daily,1.5,0.5,316045,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316045,36-50,0,0
telescoping-fixed,1.5,0.5,316046,1-5,5,5
telescoping-fixed,1.5,0.5,316046,6-10,5,5
telescoping-fixed,1.5,0.5,316046,11-20,6,6
telescoping-fixed,1.5,0.5,316046,21-35,0,0
telescoping-fixed,1.5,0.5,316046,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316046,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316046,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316046,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316046,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316046,36-50,0,0
telescoping-fixed,1.5,0.5,316047,1-5,5,2
telescoping-fixed,1.5,0.5,316047,6-10,5,2
telescoping-fixed,1.5,0.5,316047,11-20,6,1
telescoping-fixed,1.5,0.5,316047,21-35,0,0
telescoping-fixed,1.5,0.5,316047,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316047,1-5,5,2
campaign75-fixed-daily,1.5,0.5,316047,6-10,5,2
campaign75-fixed-daily,1.5,0.5,316047,11-20,6,1
campaign75-fixed-daily,1.5,0.5,316047,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316047,36-50,0,0
telescoping-fixed,1.5,0.5,316048,1-5,5,5
telescoping-fixed,1.5,0.5,316048,6-10,4,4
telescoping-fixed,1.5,0.5,316048,11-20,6,6
telescoping-fixed,1.5,0.5,316048,21-35,1,0
telescoping-fixed,1.5,0.5,316048,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316048,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316048,6-10,4,4
campaign75-fixed-daily,1.5,0.5,316048,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316048,21-35,1,1
campaign75-fixed-daily,1.5,0.5,316048,36-50,0,0
telescoping-fixed,1.5,0.5,316049,1-5,5,5
telescoping-fixed,1.5,0.5,316049,6-10,5,5
telescoping-fixed,1.5,0.5,316049,11-20,6,4
telescoping-fixed,1.5,0.5,316049,21-35,0,0
telescoping-fixed,1.5,0.5,316049,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316049,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316049,6-10,5,5
campaign75-fixed-daily,1.5,0.5,316049,11-20,6,6
campaign75-fixed-daily,1.5,0.5,316049,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316049,36-50,0,0
telescoping-fixed,1.5,0.5,316050,1-5,5,5
telescoping-fixed,1.5,0.5,316050,6-10,3,3
telescoping-fixed,1.5,0.5,316050,11-20,6,5
