design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
telescoping-hedged,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1016.0,0.0,0.0625
telescoping-hedged,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1121.0,0.0,0.0
campaign25-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1051.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1051.0,0.0,0.0625
campaign75-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1096.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1156.0,0.0,0.0
anchored25-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1051.0,0.0,0.0625
anchored50-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1096.0,0.0,0.0
anchored75-fixed,1.0,0.5,41000011,0.0,0.0625,0.0625,1.0,1,1116.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000012,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000013,0.0,0.0625,0.0625,1.0,1,1111.0,0.0,0.0625
telescoping-hedged,1.0,0.5,41000013,0.0,0.0625,0.0625,1.0,1,1211.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000013,0.0,0.0625,0.0625,1.0,1,1141.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000013,0.0,0.0625,0.0625,1.0,1,1171.0,0.0,0.0625
campaign75-fixed,1.0,0.5,41000013,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000013,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000013,0.0,0.0625,0.0625,1.0,1,1166.0,0.0,0.0625
anchored50-fixed,1.0,0.5,41000013,0.0,0.0625,0.0625,1.0,1,1196.0,0.0,0.0625
anchored75-fixed,1.0,0.5,41000013,0.0,0.0,0.0,1.0,0,,0.0,0.0
